TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.thealgorithms.sorts.IntrospectiveSort,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5,487,2
com.thealgorithms.sorts.IntrospectiveSort,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5,487,2
com.thealgorithms.sorts.IntrospectiveSort,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5,487,2
com.thealgorithms.sorts.IntrospectiveSort,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5,487,2
com.thealgorithms.sorts.IntrospectiveSort,BRANCH,0.0,4,0
com.thealgorithms.sorts.IntrospectiveSort,OUTPUT,1.0,0,0
com.thealgorithms.sorts.IntrospectiveSort,OUTPUT,1.0,0,0
com.thealgorithms.sorts.IntrospectiveSort,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5,487,2
com.thealgorithms.sorts.IntrospectiveSort,LINE;BRANCH;EXCEPTION;WEAKMUTATION;METHOD;METHODNOEXCEPTION;CBRANCH,0.42857142857142855,487,2
com.thealgorithms.sorts.IntrospectiveSort,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5,487,2
